index,Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
1978,THA,Laem Chabang,Port of Laem Chabang,13.073889,100.895278,THLCH,Seaport,Large,"[13.073889, 100.895278]","Port of Laem Chabang, Seaport - Large"
2024,TUR,Istanbul,Port of Istanbul,41.012778,28.999167,TRIST,Deepwater Seaport,Very Large,"[41.012778, 28.999167]","Port of Istanbul, Deepwater Seaport - Very Large"
2048,UKR,Nikolaev,Port of Nikolaev,46.95,31.971667,UANLV,Seaport,Large,"[46.95, 31.971667]","Port of Nikolaev, Seaport - Large"
2051,UKR,Sevastopol,Port of Sevastopol,44.618889,33.546111,UASVP,Seaport,Large,"[44.618889, 33.546111]","Port of Sevastopol, Seaport - Large"
2112,GBR,Felixstowe,Felixstowe Port,51.954444,1.302222,GBFXT,Seaport,Large,"[51.954444, 1.302222]","Felixstowe Port, Seaport - Large"
2138,GBR,Immingham,Port of Immingham,53.627222,-0.191667,GBIMM,Seaport,Large,"[53.627222, -0.191667]","Port of Immingham, Seaport - Large"
2150,GBR,Leith,Port of Leith,55.9825,-3.174722,GBLEI,Seaport,Large,"[55.9825, -3.174722]","Port of Leith, Seaport - Large"
2153,GBR,Liverpool,Port of Liverpool,53.436389,-3.011389,GBLIV,Seaport,Large,"[53.436389, -3.011389]","Port of Liverpool, Seaport - Large"
2201,GBR,Southampton,Port of Southampton,50.9025,-1.428889,GBSOU,Seaport,Large,"[50.9025, -1.428889]","Port of Southampton, Seaport - Large"
2235,USA,Baltimore,Port of Baltimore,39.2325,-76.558889,USBAL,Deepwater Seaport,Very Large,"[39.2325, -76.558889]","Port of Baltimore, Deepwater Seaport - Very Large"
2245,USA,Boston,Port of Boston,42.363611,-71.036667,USBOS,Deepwater Seaport,Very Large,"[42.363611, -71.036667]","Port of Boston, Deepwater Seaport - Very Large"
2246,USA,Bremerton,Port of Bremerton,47.557222,-122.637778,USPWT,Seaport,Large,"[47.557222, -122.637778]","Port of Bremerton, Seaport - Large"
2247,USA,Bridgeport,Port of Bridgeport,41.1725,-73.181944,USBDR,Seaport,Large,"[41.1725, -73.181944]","Port of Bridgeport, Seaport - Large"
2253,USA,Charleston,Port Charleston,32.822222,-79.9275,USCHS,Deepwater Seaport,Very Large,"[32.822222, -79.9275]","Port Charleston, Deepwater Seaport - Very Large"
2255,USA,Chicago,Port of Chicago,41.689444,-87.566111,USCHI,Seaport,Large,"[41.689444, -87.566111]","Port of Chicago, Seaport - Large"
2261,USA,Corpus Christi,Port of Corpus Christi,27.812778,-97.407222,USCRP,Seaport,Large,"[27.812778, -97.407222]","Port of Corpus Christi, Seaport - Large"
2274,USA,Elizabeth,Port of Elizabeth,40.669722,-74.150278,USEZA,Seaport,Large,"[40.669722, -74.150278]","Port of Elizabeth, Seaport - Large"
2294,USA,Honolulu,"Honolulu Harbor, Oahu",21.309444,-157.877778,USHNL,Seaport,Large,"[21.309444, -157.877778]","Honolulu Harbor, Oahu, Seaport - Large"
2295,USA,Honolulu,Pearl Harbor,21.351944,-157.964722,USHNL,Deepwater Seaport,Very Large,"[21.351944, -157.964722]","Pearl Harbor, Deepwater Seaport - Very Large"
2299,USA,Houston,Port of Houston,29.739167,-95.203333,USHOU,Seaport,Very Large,"[29.739167, -95.203333]","Port of Houston, Seaport - Very Large"
2301,USA,Jacksonville,Port of Jacksonville,30.380833,-81.564444,USJAX,Seaport,Large,"[30.380833, -81.564444]","Port of Jacksonville, Seaport - Large"
2314,USA,Long Beach,Port of Long Beach,33.748889,-118.201111,USLGB,Deepwater Seaport,Very Large,"[33.748889, -118.201111]","Port of Long Beach, Deepwater Seaport - Very Large"
