Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
USA,Biloxi,Biloxi Port,30.390556,-88.86,USBIX,Seaport,Small,"[30.390556, -88.86]","Biloxi Port, Seaport - Small"
USA,Boca Grande,Port of Boca Grande,26.721389,-82.261111,USBCG,"Pier, Jetty or Wharf",Very Small,"[26.721389, -82.261111]","Port of Boca Grande, Pier, Jetty or Wharf - Very Small"
USA,Boston,Port of Boston,42.363611,-71.036667,USBOS,Deepwater Seaport,Very Large,"[42.363611, -71.036667]","Port of Boston, Deepwater Seaport - Very Large"
USA,Bremerton,Port of Bremerton,47.557222,-122.637778,USPWT,Seaport,Large,"[47.557222, -122.637778]","Port of Bremerton, Seaport - Large"
USA,Bridgeport,Port of Bridgeport,41.1725,-73.181944,USBDR,Seaport,Large,"[41.1725, -73.181944]","Port of Bridgeport, Seaport - Large"
USA,Brownsville,Port of Brownsville,25.957222,-97.385278,USBRO,Seaport,Medium,"[25.957222, -97.385278]","Port of Brownsville, Seaport - Medium"
USA,Brunswick,Port of Brunswick,31.140556,-81.496667,USSSI,Seaport,Small,"[31.140556, -81.496667]","Port of Brunswick, Seaport - Small"
USA,Bucksport,Port of Bucksport,44.572222,-68.801944,USBUP,"Pier, Jetty or Wharf",Small,"[44.572222, -68.801944]","Port of Bucksport, Pier, Jetty or Wharf - Small"
USA,Buffalo,Port of Buffalo,42.846389,-78.873056,USBUF,Seaport,Medium,"[42.846389, -78.873056]","Port of Buffalo, Seaport - Medium"
USA,Cape Canaveral,Port Canaveral,28.411667,-80.609167,,Seaport,Medium,"[28.411667, -80.609167]","Port Canaveral, Seaport - Medium"
USA,Charleston,Port Charleston,32.822222,-79.9275,USCHS,Deepwater Seaport,Very Large,"[32.822222, -79.9275]","Port Charleston, Deepwater Seaport - Very Large"
USA,Chenega Bay,Port of Chenega Bay,60.065,-148.008333,,"Pier, Jetty or Wharf",Very Small,"[60.065, -148.008333]","Port of Chenega Bay, Pier, Jetty or Wharf - Very Small"
USA,Chicago,Port of Chicago,41.689444,-87.566111,USCHI,Seaport,Large,"[41.689444, -87.566111]","Port of Chicago, Seaport - Large"
USA,Chignik,Port of Chignik,56.296944,-158.385833,,Deepwater Seaport,Small,"[56.296944, -158.385833]","Port of Chignik, Deepwater Seaport - Small"
USA,Cleveland,Port of Cleveland,41.503889,-81.7075,USCLE,Seaport,Small,"[41.503889, -81.7075]","Port of Cleveland, Seaport - Small"
USA,Cold Bay,Port of Cold Bay,55.205278,-162.7,,"Pier, Jetty or Wharf",Very Small,"[55.205278, -162.7]","Port of Cold Bay, Pier, Jetty or Wharf - Very Small"
USA,Conneaut,Port of Conneaut,41.968333,-80.548333,USCDY,Seaport,Small,"[41.968333, -80.548333]","Port of Conneaut, Seaport - Small"
USA,Coos Bay,Oregon International Port of Coos Bay,43.384167,-124.218889,USCOB,Seaport,Medium,"[43.384167, -124.218889]","Oregon International Port of Coos Bay, Seaport - Medium"
USA,Corpus Christi,Port of Corpus Christi,27.812778,-97.407222,USCRP,Seaport,Large,"[27.812778, -97.407222]","Port of Corpus Christi, Seaport - Large"
USA,Crescent City,Crescent City Harbor,41.744722,-124.19,USCEC,Off-Shore Terminal,Small,"[41.744722, -124.19]","Crescent City Harbor, Off-Shore Terminal - Small"
USA,Crockett,Port of Crockett,38.057222,-122.218889,USCRM,Seaport,Small,"[38.057222, -122.218889]","Port of Crockett, Seaport - Small"
USA,Cutler,Cutler Harbor,44.656111,-67.207222,,"Pier, Jetty or Wharf",Very Small,"[44.656111, -67.207222]","Cutler Harbor, Pier, Jetty or Wharf - Very Small"
USA,Dames Point,Dames Point,30.39,-81.558889,,Seaport,Small,"[30.39, -81.558889]","Dames Point, Seaport - Small"
USA,Delaware City,Port of Delaware City,39.583611,-75.591944,,Seaport,Small,"[39.583611, -75.591944]","Port of Delaware City, Seaport - Small"
USA,Detroit,Detroit/Wayne County Port Authority,42.2575,-83.122222,USDET,Seaport,Medium,"[42.2575, -83.122222]","Detroit/Wayne County Port Authority, Seaport - Medium"
USA,Drift River,Drift River Marine Terminal,60.549722,-152.133056,USDRF,Off-Shore Terminal,Very Small,"[60.549722, -152.133056]","Drift River Marine Terminal, Off-Shore Terminal - Very Small"
USA,East Chicago,Indiana Harbor,41.673333,-87.438889,USECH,Seaport,Medium,"[41.673333, -87.438889]","Indiana Harbor, Seaport - Medium"
USA,Eastport,Port of Eastport,44.906667,-66.990833,USEPM,"Pier, Jetty or Wharf",Very Small,"[44.906667, -66.990833]","Port of Eastport, Pier, Jetty or Wharf - Very Small"
USA,Eddystone,Penn Terminals,39.852222,-75.341389,USESX,Seaport,Small,"[39.852222, -75.341389]","Penn Terminals, Seaport - Small"
USA,Egegik,Port of Egegik,58.214444,-157.375556,,"Pier, Jetty or Wharf",Very Small,"[58.214444, -157.375556]","Port of Egegik, Pier, Jetty or Wharf - Very Small"
USA,El Segundo,El Segundo Off-Shore Oil Terminal,33.885278,-118.456111,USELS,Off-Shore Terminal,Very Small,"[33.885278, -118.456111]","El Segundo Off-Shore Oil Terminal, Off-Shore Terminal - Very Small"
USA,Elizabeth,Port of Elizabeth,40.669722,-74.150278,USEZA,Seaport,Large,"[40.669722, -74.150278]","Port of Elizabeth, Seaport - Large"
USA,Erie,Port of Erie,42.142222,-80.102222,USERI,Seaport,Medium,"[42.142222, -80.102222]","Port of Erie, Seaport - Medium"
USA,Escanaba,Port of Escanaba,45.7575,-87.055833,USESC,Seaport,Small,"[45.7575, -87.055833]","Port of Escanaba, Seaport - Small"
USA,Eureka,Humboldt Bay Harbor,40.794444,-124.190278,USEKA,Seaport,Medium,"[40.794444, -124.190278]","Humboldt Bay Harbor, Seaport - Medium"
USA,Everett,Port of Everett,47.982222,-122.223889,USPAE,Seaport,Medium,"[47.982222, -122.223889]","Port of Everett, Seaport - Medium"
USA,Fall River,Port of Fall River,41.705,-71.166667,USFAV,Seaport,Medium,"[41.705, -71.166667]","Port of Fall River, Seaport - Medium"
USA,Fernandina Beach,Port of Fernandina,30.681111,-81.462222,USFEB,Seaport,Small,"[30.681111, -81.462222]","Port of Fernandina, Seaport - Small"
USA,Ferndale,Alcoa Intalco Works,48.841667,-122.715,USFDT,Seaport,Small,"[48.841667, -122.715]","Alcoa Intalco Works, Seaport - Small"
USA,Ferndale,ConocoPhillips Ferndale Refinery,48.826667,-122.711944,USFDT,Seaport,Small,"[48.826667, -122.711944]","ConocoPhillips Ferndale Refinery, Seaport - Small"
USA,Freeport,Port Freeport,28.950556,-95.319167,USFPO,Seaport,Medium,"[28.950556, -95.319167]","Port Freeport, Seaport - Medium"
USA,Galveston,Port of Galveston,29.304167,-94.818611,USGLS,Seaport,Medium,"[29.304167, -94.818611]","Port of Galveston, Seaport - Medium"
USA,Gary,Port of Gary,41.616111,-87.324722,,Seaport,Small,"[41.616111, -87.324722]","Port of Gary, Seaport - Small"
USA,Gloucester,Gloucester Harbor,42.611389,-70.654444,USGLO,Seaport,Medium,"[42.611389, -70.654444]","Gloucester Harbor, Seaport - Medium"
USA,Golovin,Port of Golovin,64.546111,-163.034722,,"Pier, Jetty or Wharf",Very Small,"[64.546111, -163.034722]","Port of Golovin, Pier, Jetty or Wharf - Very Small"
USA,Green Bay,Port of Green Bay,44.513611,-88.020278,USGRB,Seaport,Small,"[44.513611, -88.020278]","Port of Green Bay, Seaport - Small"
USA,Groton,Port of Groton,41.338611,-72.08,USZGO,Seaport,Small,"[41.338611, -72.08]","Port of Groton, Seaport - Small"
USA,Gulfport,Port of Gulfport,30.358611,-89.091389,USGPT,Seaport,Small,"[30.358611, -89.091389]","Port of Gulfport, Seaport - Small"
USA,Gustavus,Gustavus Harbor,58.390278,-135.729444,USGST,"Pier, Jetty or Wharf",Very Small,"[58.390278, -135.729444]","Gustavus Harbor, Pier, Jetty or Wharf - Very Small"
USA,Haines,Haines Ferry Terminal,59.281389,-135.461944,,"Pier, Jetty or Wharf",Very Small,"[59.281389, -135.461944]","Haines Ferry Terminal, Pier, Jetty or Wharf - Very Small"
USA,Hollis,Hollis Harbor,55.490833,-132.622222,USHSH,"Pier, Jetty or Wharf",Very Small,"[55.490833, -132.622222]","Hollis Harbor, Pier, Jetty or Wharf - Very Small"
USA,Honolulu,"Honolulu Harbor, Oahu",21.309444,-157.877778,USHNL,Seaport,Large,"[21.309444, -157.877778]","Honolulu Harbor, Oahu, Seaport - Large"
USA,Honolulu,Pearl Harbor,21.351944,-157.964722,USHNL,Deepwater Seaport,Very Large,"[21.351944, -157.964722]","Pearl Harbor, Deepwater Seaport - Very Large"
USA,Hopewell,Port of Hopewell,37.306389,-77.274722,,Seaport,Small,"[37.306389, -77.274722]","Port of Hopewell, Seaport - Small"
USA,Hoquiam,Hoquiam Harbor,46.971944,-123.879444,USHQM,"Pier, Jetty or Wharf",Small,"[46.971944, -123.879444]","Hoquiam Harbor, Pier, Jetty or Wharf - Small"
USA,Houston,Jacintoport,29.749167,-95.110833,,Seaport,Medium,"[29.749167, -95.110833]","Jacintoport, Seaport - Medium"
USA,Houston,Port of Houston,29.739167,-95.203333,USHOU,Seaport,Very Large,"[29.739167, -95.203333]","Port of Houston, Seaport - Very Large"
USA,Hydaburg,Port of Hydaburg,55.205833,-132.828611,USHYG,"Pier, Jetty or Wharf",Small,"[55.205833, -132.828611]","Port of Hydaburg, Pier, Jetty or Wharf - Small"
USA,Jacksonville,Port of Jacksonville,30.380833,-81.564444,USJAX,Seaport,Large,"[30.380833, -81.564444]","Port of Jacksonville, Seaport - Large"
USA,Juneau,Port of Juneau,58.293611,-134.413889,USJNU,Seaport,Small,"[58.293611, -134.413889]","Port of Juneau, Seaport - Small"
USA,Kailua Kona,Port of Kailua Kona,19.639167,-155.996111,USKHH,"Pier, Jetty or Wharf",Small,"[19.639167, -155.996111]","Port of Kailua Kona, Pier, Jetty or Wharf - Small"
USA,Kasaan,Kasaan Harbor,55.536944,-132.398333,,"Pier, Jetty or Wharf",Very Small,"[55.536944, -132.398333]","Kasaan Harbor, Pier, Jetty or Wharf - Very Small"
USA,Kaumalapau,"Kaumalapau Harbor, Lanai",20.786667,-156.991389,,"Pier, Jetty or Wharf",Very Small,"[20.786667, -156.991389]","Kaumalapau Harbor, Lanai, Pier, Jetty or Wharf - Very Small"
USA,Kaunakakai,"Kaunakakai Harbor, Molokai",21.083611,-157.0275,,"Pier, Jetty or Wharf",Very Small,"[21.083611, -157.0275]","Kaunakakai Harbor, Molokai, Pier, Jetty or Wharf - Very Small"
USA,Kenai,Port of Kenai,60.548333,-151.23,USENA,"Pier, Jetty or Wharf",Small,"[60.548333, -151.23]","Port of Kenai, Pier, Jetty or Wharf - Small"
USA,Ketchikan,Port of Ketchikan,55.346944,-131.673889,USKTN,Seaport,Medium,"[55.346944, -131.673889]","Port of Ketchikan, Seaport - Medium"
USA,King Cove,Port of King Cove,55.058611,-162.322222,USKVC,"Pier, Jetty or Wharf",Small,"[55.058611, -162.322222]","Port of King Cove, Pier, Jetty or Wharf - Small"
USA,Kismet,Kismet Harbor,40.638889,-73.201944,,Ferry,Small,"[40.638889, -73.201944]","Kismet Harbor, Ferry - Small"
USA,Kivalina,Port of Kivalina,67.728056,-164.538333,,"Pier, Jetty or Wharf",Very Small,"[67.728056, -164.538333]","Port of Kivalina, Pier, Jetty or Wharf - Very Small"
USA,Knik,Port of Knik,61.456389,-149.723889,,"Pier, Jetty or Wharf",Very Small,"[61.456389, -149.723889]","Port of Knik, Pier, Jetty or Wharf - Very Small"
USA,Kodiak,Port of Kodiak,57.787222,-152.400278,USADQ,Seaport,Small,"[57.787222, -152.400278]","Port of Kodiak, Seaport - Small"
USA,Long Beach,Port of Long Beach,33.748889,-118.201111,USLGB,Deepwater Seaport,Very Large,"[33.748889, -118.201111]","Port of Long Beach, Deepwater Seaport - Very Large"
USA,Lorain,Port of Lorain,41.468056,-82.178333,USLOR,Seaport,Medium,"[41.468056, -82.178333]","Port of Lorain, Seaport - Medium"
USA,Loring,Loring Harbor,55.601389,-131.633889,,"Pier, Jetty or Wharf",Very Small,"[55.601389, -131.633889]","Loring Harbor, Pier, Jetty or Wharf - Very Small"
USA,Los Angeles,Port of Los Angeles,33.731944,-118.265278,USLAX,Deepwater Seaport,Very Large,"[33.731944, -118.265278]","Port of Los Angeles, Deepwater Seaport - Very Large"
USA,Lubec,Lubec Harbor,44.859722,-66.986111,,"Pier, Jetty or Wharf",Very Small,"[44.859722, -66.986111]","Lubec Harbor, Pier, Jetty or Wharf - Very Small"
USA,Machias,Machias Harbor,44.715833,-67.453333,,"Pier, Jetty or Wharf",Very Small,"[44.715833, -67.453333]","Machias Harbor, Pier, Jetty or Wharf - Very Small"
USA,Machiasport,Machiasport Harbor,44.698889,-67.3925,,"Pier, Jetty or Wharf",Very Small,"[44.698889, -67.3925]","Machiasport Harbor, Pier, Jetty or Wharf - Very Small"
USA,Marcus Hook,Port of Marcus Hook,39.811667,-75.418333,USMAH,Seaport,Medium,"[39.811667, -75.418333]","Port of Marcus Hook, Seaport - Medium"
USA,Marquette,Port of Presque Isle,46.580278,-87.389167,,"Pier, Jetty or Wharf",Small,"[46.580278, -87.389167]","Port of Presque Isle, Pier, Jetty or Wharf - Small"
USA,Martinez,Shell Oil Terminal Martinez,38.0325,-122.128056,USMRZ,Deepwater Seaport,Medium,"[38.0325, -122.128056]","Shell Oil Terminal Martinez, Deepwater Seaport - Medium"
USA,Mayport,Naval Station Mayport,30.394722,-81.409167,,Seaport,Medium,"[30.394722, -81.409167]","Naval Station Mayport, Seaport - Medium"
USA,Metairie,LOOP Terminal,28.883056,-90.016667,,Off-Shore Terminal,Very Small,"[28.883056, -90.016667]","LOOP Terminal, Off-Shore Terminal - Very Small"
USA,Miami,Port of Miami,25.775,-80.167222,USMIA,Seaport,Medium,"[25.775, -80.167222]","Port of Miami, Seaport - Medium"
USA,Milwaukee,Port of Milwaukee,43.015556,-87.9,USMKE,Seaport,Medium,"[43.015556, -87.9]","Port of Milwaukee, Seaport - Medium"
USA,Mobile,Port of Mobile,30.711389,-88.040278,USMOB,Deepwater Seaport,Large,"[30.711389, -88.040278]","Port of Mobile, Deepwater Seaport - Large"
USA,Monhegan,Monhegan Harbor,43.764444,-69.321667,,"Pier, Jetty or Wharf",Very Small,"[43.764444, -69.321667]","Monhegan Harbor, Pier, Jetty or Wharf - Very Small"
USA,Monroe,Port of Monroe,41.901667,-83.362778,USMOI,Seaport,Small,"[41.901667, -83.362778]","Port of Monroe, Seaport - Small"
USA,Mountain Point,Port of Mountain Point,55.293056,-131.541944,,"Pier, Jetty or Wharf",Very Small,"[55.293056, -131.541944]","Port of Mountain Point, Pier, Jetty or Wharf - Very Small"
USA,Muskegon,Muskegon Harbor,43.237222,-86.295278,USMKG,Seaport,Medium,"[43.237222, -86.295278]","Muskegon Harbor, Seaport - Medium"
USA,Naknek,Port of Bristol Bay,58.721389,-157.007778,USNNK,"Pier, Jetty or Wharf",Small,"[58.721389, -157.007778]","Port of Bristol Bay, Pier, Jetty or Wharf - Small"
USA,Nederland,Sun Marine Terminals,30.009444,-93.983333,USNDX,Seaport,Small,"[30.009444, -93.983333]","Sun Marine Terminals, Seaport - Small"
USA,Nelson Lagoon,Nelson Lagoon Pier,56.004722,-161.175833,,"Pier, Jetty or Wharf",Very Small,"[56.004722, -161.175833]","Nelson Lagoon Pier, Pier, Jetty or Wharf - Very Small"
USA,New Bedford,Port of New Bedford,41.6375,-70.916389,USNBD,Seaport,Medium,"[41.6375, -70.916389]","Port of New Bedford, Seaport - Medium"
USA,New Haven,Port of New Haven,41.286389,-72.915,USHVN,Seaport,Large,"[41.286389, -72.915]","Port of New Haven, Seaport - Large"
USA,New London,Naval Submarine Base New London,41.396667,-72.093333,USNLO,Seaport,Medium,"[41.396667, -72.093333]","Naval Submarine Base New London, Seaport - Medium"
